Building ID,Owner ID,zip_code,neighborhood,block,address,building_class_category,tax_class,building_class,year_built,LandUse
6488,O267633,11205,BEDFORD STUYVESANT,1884,433 PARK AVENUE,30  WAREHOUSES,4,E4,1930,6
6489,O218799,11220,BUSH TERMINAL,836,5615 1 AVENUE,29  COMMERCIAL GARAGES,4,G7,0,10
6490,O342924,11231,CARROLL GARDENS,460,54 2 STREET,03 THREE FAMILY HOMES,1,C0,1901,2
6491,O343515,11231,CARROLL GARDENS,429,393 UNION STREET,07  RENTALS - WALKUP APARTMENTS,2A,C3,1920,2
6492,O394148,11203,FLATBUSH-EAST,4770,1160 UTICA AVENUE,22  STORE BUILDINGS,4,K2,1931,5
6493,O33036,11217,FORT GREENE,2112,130 FT GREENE PLACE,02 TWO FAMILY HOMES,1,B9,1899,1
6494,O57059,11223,OCEAN PARKWAY-NORTH,6638,1653 OCEAN PARKWAY,02 TWO FAMILY HOMES,1,B1,1930,1
6495,O7494,11217,PARK SLOPE,939,101 PARK PLACE,03 THREE FAMILY HOMES,1,C0,1899,2
6496,O267622,11215,PARK SLOPE,1072,1 MONTGOMERY PLACE,15  CONDOS - 2-10 UNIT RESIDENTIAL,2C,R1,2006,NA
6497,O342918,11238,PROSPECT HEIGHTS,1173,398 STERLING PLACE,02 TWO FAMILY HOMES,1,B1,1910,NA
6498,O57058,11238,PROSPECT HEIGHTS,1130,567 VANDERBILT AVENUE,07  RENTALS - WALKUP APARTMENTS,2B,C7,1930,4
6499,O19984,11211,WILLIAMSBURG-EAST,2789,754 GRAND STREET,07  RENTALS - WALKUP APARTMENTS,2A,C4,1920,2
6500,O232287,11249,WILLIAMSBURG-NORTH,2304,77 BERRY STREET,07  RENTALS - WALKUP APARTMENTS,2A,C2,1910,2
6501,O120041,11249,WILLIAMSBURG-NORTH,2324,34 NORTH 7 STREET,13  CONDOS - ELEVATOR APARTMENTS,2,R4,2007,NA
6502,O19409,11214,BATH BEACH,6375,16 BAY 25TH   STREET,03 THREE FAMILY HOMES,1,C0,1930,11
6503,O119469,11233,BEDFORD STUYVESANT,1682,223 BAINBRIDGE STREET,07  RENTALS - WALKUP APARTMENTS,2B,C1,1923,2
6504,O367655,11214,BENSONHURST,6346,2021 86TH   STREET,22  STORE BUILDINGS,4,K4,1931,4
6505,O342895,11214,BENSONHURST,6346,2017 86TH STREET,22  STORE BUILDINGS,4,K4,1931,4
6506,O120047,11218,BOROUGH PARK,5293,3914 13TH   AVENUE,22  STORE BUILDINGS,4,K2,1931,5
